Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Ball Arena,Golden 1 Center,"(39.748683799999995, -105.00754401780362)","(38.58014045, -121.49950076409176)",1429.181208898961
Ball Arena,Kaseya Center,"(39.748683799999995, -105.00754401780362)","(25.781359549999998, -80.18794351626137)",2778.913564188437
Ball Arena,Little Caesars Arena,"(39.748683799999995, -105.00754401780362)","(42.3409774, -83.05495452754165)",1862.6918361205828
Ball Arena,Madison Square Garden,"(39.748683799999995, -105.00754401780362)","(40.750512900000004, -73.99351594545152)",2627.328192036762
Ball Arena,Moda Center,"(39.748683799999995, -105.00754401780362)","(45.5315787, -122.66683365218687)",1579.989086172365
Ball Arena,Paycom Center,"(39.748683799999995, -105.00754401780362)","(35.46339605, -97.51508150130435)",814.3161175912062
Ball Arena,Rocket Mortgage FieldHouse,"(39.748683799999995, -105.00754401780362)","(41.4966862, -81.68857538921003)",1976.576010729645
Ball Arena,Scotiabank Arena,"(39.748683799999995, -105.00754401780362)","(43.64343375, -79.37907772483726)",2167.6679996577127
Ball Arena,Smoothie King Center,"(39.748683799999995, -105.00754401780362)","(29.94903925, -90.08206899587637)",1740.8502097462522
Ball Arena,Spectrum Center,"(39.748683799999995, -105.00754401780362)","(35.225098, -80.83915411814897)",2188.3696667120976
Ball Arena,State Farm Arena,"(39.748683799999995, -105.00754401780362)","(33.7573698, -84.39638483503104)",1951.4718842812747
Ball Arena,Target Center,"(39.748683799999995, -105.00754401780362)","(44.979512650000004, -93.27609502567992)",1125.9583419932985
Ball Arena,TD Garden,"(39.748683799999995, -105.00754401780362)","(42.3662986, -71.06216222263835)",2849.2323593133933
Ball Arena,Toyota Center,"(39.748683799999995, -105.00754401780362)","(29.75074725, -95.36223151477087)",1415.8896870122924
Ball Arena,United Center,"(39.748683799999995, -105.00754401780362)","(41.88068305, -87.67418510441388)",1478.8298800651285
Ball Arena,Wells Fargo Center (Philadelphia),"(39.748683799999995, -105.00754401780362)","(39.901100400000004, -75.17201654615069)",2542.3084831599444
Barclays Center,American Airlines Center,"(40.68251055, -73.97525186658912)","(32.7905076, -96.81027213460834)",2211.1994176464277
Barclays Center,Amway Center,"(40.68251055, -73.97525186658912)","(28.53927385, -81.38400713924818)",1507.3249152881704
Barclays Center,Ball Arena,"(40.68251055, -73.97525186658912)","(39.748683799999995, -105.00754401780362)",2629.8934578259727
Barclays Center,Capital One Arena,"(40.68251055, -73.97525186658912)","(38.8981883, -77.0209377602636)",327.539828781667
Barclays Center,Chase Center,"(40.68251055, -73.97525186658912)","(37.767892700000004, -122.38740721330376)",4139.991464543456
Barclays Center,Crypto.com Arena,"(40.68251055, -73.97525186658912)","(34.0429979, -118.2671352463293)",3949.6280845868437
Barclays Center,Delta Center,"(40.68251055, -73.97525186658912)","(40.76832735, -111.90105507486473)",3178.6341259236137
Barclays Center,FedExForum,"(40.68251055, -73.97525186658912)","(35.1382401, -90.05069457768097)",1538.754886697257
Barclays Center,Fiserv Forum,"(40.68251055, -73.97525186658912)","(43.04500955, -87.91748710581575)",1185.4366213426742
Barclays Center,Footprint Center,"(40.68251055, -73.97525186658912)","(33.4460392, -112.07110129629386)",3453.337590327491
Barclays Center,Frost Bank Center,"(40.68251055, -73.97525186658912)","(29.4270504, -98.43750706398404)",2544.476107126062
Barclays Center,Gainbridge Fieldhouse,"(40.68251055, -73.97525186658912)","(39.7639331, -86.15550794973416)",1040.8827363000669
Barclays Center,Golden 1 Center,"(40.68251055, -73.97525186658912)","(38.58014045, -121.49950076409176)",4036.651308820711
Barclays Center,Kaseya Center,"(40.68251055, -73.97525186658912)","(25.781359549999998, -80.18794351626137)",1749.9462693047865
Barclays Center,Little Caesars Arena,"(40.68251055, -73.97525186658912)","(42.3409774, -83.05495452754165)",779.6175848949208
Barclays Center,Madison Square Garden,"(40.68251055, -73.97525186658912)","(40.750512900000004, -73.99351594545152)",7.707625454399785
Barclays Center,Moda Center,"(40.68251055, -73.97525186658912)","(45.5315787, -122.66683365218687)",3938.478869502445
Barclays Center,Paycom Center,"(40.68251055, -73.97525186658912)","(35.46339605, -97.51508150130435)",2137.8783285275863
Barclays Center,Rocket Mortgage FieldHouse,"(40.68251055, -73.97525186658912)","(41.4966862, -81.68857538921003)",654.1320769713279
Barclays Center,Scotiabank Arena,"(40.68251055, -73.97525186658912)","(43.64343375, -79.37907772483726)",554.4090951336201
Barclays Center,Smoothie King Center,"(40.68251055, -73.97525186658912)","(29.94903925, -90.08206899587637)",1882.266211780052
