Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
FedExForum,Crypto.com Arena,"(35.1382401, -90.05069457768097)","(34.0429979, -118.2671352463293)",2582.7898895741914
FedExForum,Delta Center,"(35.1382401, -90.05069457768097)","(40.76832735, -111.90105507486473)",2013.2002875304288
FedExForum,Fiserv Forum,"(35.1382401, -90.05069457768097)","(43.04500955, -87.91748710581575)",896.8909281679993
FedExForum,Footprint Center,"(35.1382401, -90.05069457768097)","(33.4460392, -112.07110129629386)",2031.8730813226593
FedExForum,Frost Bank Center,"(35.1382401, -90.05069457768097)","(29.4270504, -98.43750706398404)",1011.8470352582149
FedExForum,Gainbridge Fieldhouse,"(35.1382401, -90.05069457768097)","(39.7639331, -86.15550794973416)",618.1922509576094
FedExForum,Golden 1 Center,"(35.1382401, -90.05069457768097)","(38.58014045, -121.49950076409176)",2816.444684710041
FedExForum,Kaseya Center,"(35.1382401, -90.05069457768097)","(25.781359549999998, -80.18794351626137)",1403.0605672915606
FedExForum,Little Caesars Arena,"(35.1382401, -90.05069457768097)","(42.3409774, -83.05495452754165)",1003.8249892836809
FedExForum,Madison Square Garden,"(35.1382401, -90.05069457768097)","(40.750512900000004, -73.99351594545152)",1539.69541905094
FedExForum,Moda Center,"(35.1382401, -90.05069457768097)","(45.5315787, -122.66683365218687)",2976.3178844843087
FedExForum,Paycom Center,"(35.1382401, -90.05069457768097)","(35.46339605, -97.51508150130435)",679.7022638504067
FedExForum,Rocket Mortgage FieldHouse,"(35.1382401, -90.05069457768097)","(41.4966862, -81.68857538921003)",1015.3803863763193
FedExForum,Scotiabank Arena,"(35.1382401, -90.05069457768097)","(43.64343375, -79.37907772483726)",1315.7298868686312
FedExForum,Smoothie King Center,"(35.1382401, -90.05069457768097)","(29.94903925, -90.08206899587637)",575.4727512656563
FedExForum,Spectrum Center,"(35.1382401, -90.05069457768097)","(35.225098, -80.83915411814897)",838.7965777629868
FedExForum,State Farm Arena,"(35.1382401, -90.05069457768097)","(33.7573698, -84.39638483503104)",541.6294872508872
FedExForum,Target Center,"(35.1382401, -90.05069457768097)","(44.979512650000004, -93.27609502567992)",1126.5949783012252
FedExForum,TD Garden,"(35.1382401, -90.05069457768097)","(42.3662986, -71.06216222263835)",1829.7442954761925
FedExForum,Toyota Center,"(35.1382401, -90.05069457768097)","(29.75074725, -95.36223151477087)",778.4283729824717
FedExForum,United Center,"(35.1382401, -90.05069457768097)","(41.88068305, -87.67418510441388)",776.5331848353286
FedExForum,Wells Fargo Center (Philadelphia),"(35.1382401, -90.05069457768097)","(39.901100400000004, -75.17201654615069)",1415.3061044841836
Fiserv Forum,American Airlines Center,"(43.04500955, -87.91748710581575)","(32.7905076, -96.81027213460834)",1379.082910931079
Fiserv Forum,Amway Center,"(43.04500955, -87.91748710581575)","(28.53927385, -81.38400713924818)",1713.024087504747
Fiserv Forum,Ball Arena,"(43.04500955, -87.91748710581575)","(39.748683799999995, -105.00754401780362)",1472.4666135088562
Fiserv Forum,Barclays Center,"(43.04500955, -87.91748710581575)","(40.68251055, -73.97525186658912)",1185.4366213426742
Fiserv Forum,Capital One Arena,"(43.04500955, -87.91748710581575)","(38.8981883, -77.0209377602636)",1025.1822084547769
Fiserv Forum,Chase Center,"(43.04500955, -87.91748710581575)","(37.767892700000004, -122.38740721330376)",2962.315962135176
Fiserv Forum,Crypto.com Arena,"(43.04500955, -87.91748710581575)","(34.0429979, -118.2671352463293)",2809.4141059113504
Fiserv Forum,Delta Center,"(43.04500955, -87.91748710581575)","(40.76832735, -111.90105507486473)",1999.0287440997245
Fiserv Forum,FedExForum,"(43.04500955, -87.91748710581575)","(35.1382401, -90.05069457768097)",896.8909281679993
Fiserv Forum,Footprint Center,"(43.04500955, -87.91748710581575)","(33.4460392, -112.07110129629386)",2355.8951680655223
Fiserv Forum,Frost Bank Center,"(43.04500955, -87.91748710581575)","(29.4270504, -98.43750706398404)",1779.2917486710758
Fiserv Forum,Gainbridge Fieldhouse,"(43.04500955, -87.91748710581575)","(39.7639331, -86.15550794973416)",393.0341565052035
Fiserv Forum,Golden 1 Center,"(43.04500955, -87.91748710581575)","(38.58014045, -121.49950076409176)",2856.794786140083
Fiserv Forum,Kaseya Center,"(43.04500955, -87.91748710581575)","(25.781359549999998, -80.18794351626137)",2040.3710894232238
Fiserv Forum,Little Caesars Arena,"(43.04500955, -87.91748710581575)","(42.3409774, -83.05495452754165)",406.00388177867535
Fiserv Forum,Madison Square Garden,"(43.04500955, -87.91748710581575)","(40.750512900000004, -73.99351594545152)",1181.7283431938129
Fiserv Forum,Moda Center,"(43.04500955, -87.91748710581575)","(45.5315787, -122.66683365218687)",2765.499659661295
Fiserv Forum,Paycom Center,"(43.04500955, -87.91748710581575)","(35.46339605, -97.51508150130435)",1179.453387700099
Fiserv Forum,Rocket Mortgage FieldHouse,"(43.04500955, -87.91748710581575)","(41.4966862, -81.68857538921003)",541.732114685957
Fiserv Forum,Scotiabank Arena,"(43.04500955, -87.91748710581575)","(43.64343375, -79.37907772483726)",695.2036863146737
Fiserv Forum,Smoothie King Center,"(43.04500955, -87.91748710581575)","(29.94903925, -90.08206899587637)",1465.9901787054694
Fiserv Forum,Spectrum Center,"(43.04500955, -87.91748710581575)","(35.225098, -80.83915411814897)",1061.2771569611014
Fiserv Forum,State Farm Arena,"(43.04500955, -87.91748710581575)","(33.7573698, -84.39638483503104)",1075.5896938625901
Fiserv Forum,Target Center,"(43.04500955, -87.91748710581575)","(44.979512650000004, -93.27609502567992)",480.3301452218487
Fiserv Forum,TD Garden,"(43.04500955, -87.91748710581575)","(42.3662986, -71.06216222263835)",1380.67293416355
Fiserv Forum,Toyota Center,"(43.04500955, -87.91748710581575)","(29.75074725, -95.36223151477087)",1617.6677783431596
Fiserv Forum,United Center,"(43.04500955, -87.91748710581575)","(41.88068305, -87.67418510441388)",130.87476773939767
Fiserv Forum,Wells Fargo Center (Philadelphia),"(43.04500955, -87.91748710581575)","(39.901100400000004, -75.17201654615069)",1119.0936687375515
Footprint Center,American Airlines Center,"(33.4460392, -112.07110129629386)","(32.7905076, -96.81027213460834)",1424.8432188726065
Footprint Center,Amway Center,"(33.4460392, -112.07110129629386)","(28.53927385, -81.38400713924818)",2969.861986136816
Footprint Center,Ball Arena,"(33.4460392, -112.07110129629386)","(39.748683799999995, -105.00754401780362)",942.0149974961048
Footprint Center,Barclays Center,"(33.4460392, -112.07110129629386)","(40.68251055, -73.97525186658912)",3453.337590327491
Footprint Center,Capital One Arena,"(33.4460392, -112.07110129629386)","(38.8981883, -77.0209377602636)",3190.5950954086215
Footprint Center,Chase Center,"(33.4460392, -112.07110129629386)","(37.767892700000004, -122.38740721330376)",1049.685384194235
Footprint Center,Crypto.com Arena,"(33.4460392, -112.07110129629386)","(34.0429979, -118.2671352463293)",577.8409273265733
Footprint Center,Delta Center,"(33.4460392, -112.07110129629386)","(40.76832735, -111.90105507486473)",812.7681385544007
Footprint Center,FedExForum,"(33.4460392, -112.07110129629386)","(35.1382401, -90.05069457768097)",2031.8730813226593
Footprint Center,Fiserv Forum,"(33.4460392, -112.07110129629386)","(43.04500955, -87.91748710581575)",2355.8951680655223
Footprint Center,Frost Bank Center,"(33.4460392, -112.07110129629386)","(29.4270504, -98.43750706398404)",1369.2380450484513
Footprint Center,Gainbridge Fieldhouse,"(33.4460392, -112.07110129629386)","(39.7639331, -86.15550794973416)",2412.530992807979
Footprint Center,Golden 1 Center,"(33.4460392, -112.07110129629386)","(38.58014045, -121.49950076409176)",1022.3237686427254
Footprint Center,Kaseya Center,"(33.4460392, -112.07110129629386)","(25.781359549999998, -80.18794351626137)",3188.861415442209
Footprint Center,Little Caesars Arena,"(33.4460392, -112.07110129629386)","(42.3409774, -83.05495452754165)",2720.0148596934055
Footprint Center,Madison Square Garden,"(33.4460392, -112.07110129629386)","(40.750512900000004, -73.99351594545152)",3451.9437044112465
Footprint Center,Moda Center,"(33.4460392, -112.07110129629386)","(45.5315787, -122.66683365218687)",1618.9371578922053
Footprint Center,Paycom Center,"(33.4460392, -112.07110129629386)","(35.46339605, -97.51508150130435)",1354.8337762787407
Footprint Center,Rocket Mortgage FieldHouse,"(33.4460392, -112.07110129629386)","(41.4966862, -81.68857538921003)",2815.160510335348
Footprint Center,Scotiabank Arena,"(33.4460392, -112.07110129629386)","(43.64343375, -79.37907772483726)",3042.1548566067904
Footprint Center,Smoothie King Center,"(33.4460392, -112.07110129629386)","(29.94903925, -90.08206899587637)",2116.1674215910493
Footprint Center,Spectrum Center,"(33.4460392, -112.07110129629386)","(35.225098, -80.83915411814897)",2868.9374669884874
Footprint Center,State Farm Arena,"(33.4460392, -112.07110129629386)","(33.7573698, -84.39638483503104)",2561.0528150255805
Footprint Center,Target Center,"(33.4460392, -112.07110129629386)","(44.979512650000004, -93.27609502567992)",2058.699251884376
Footprint Center,TD Garden,"(33.4460392, -112.07110129629386)","(42.3662986, -71.06216222263835)",3701.0396728404316
Footprint Center,Toyota Center,"(33.4460392, -112.07110129629386)","(29.75074725, -95.36223151477087)",1635.724915194826
Footprint Center,United Center,"(33.4460392, -112.07110129629386)","(41.88068305, -87.67418510441388)",2336.729887708842
Footprint Center,Wells Fargo Center (Philadelphia),"(33.4460392, -112.07110129629386)","(39.901100400000004, -75.17201654615069)",3350.3587253174856
Frost Bank Center,American Airlines Center,"(29.4270504, -98.43750706398404)","(32.7905076, -96.81027213460834)",403.9118592899736
Frost Bank Center,Amway Center,"(29.4270504, -98.43750706398404)","(28.53927385, -81.38400713924818)",1663.3746906077138
Frost Bank Center,Ball Arena,"(29.4270504, -98.43750706398404)","(39.748683799999995, -105.00754401780362)",1293.009242896298
Frost Bank Center,Barclays Center,"(29.4270504, -98.43750706398404)","(40.68251055, -73.97525186658912)",2544.476107126062
Frost Bank Center,Capital One Arena,"(29.4270504, -98.43750706398404)","(38.8981883, -77.0209377602636)",2228.8727193383543
Frost Bank Center,Chase Center,"(29.4270504, -98.43750706398404)","(37.767892700000004, -122.38740721330376)",2398.941671244901
Frost Bank Center,Crypto.com Arena,"(29.4270504, -98.43750706398404)","(34.0429979, -118.2671352463293)",1944.0085002063236
Frost Bank Center,Delta Center,"(29.4270504, -98.43750706398404)","(40.76832735, -111.90105507486473)",1753.744969717719
Frost Bank Center,FedExForum,"(29.4270504, -98.43750706398404)","(35.1382401, -90.05069457768097)",1011.8470352582149
Frost Bank Center,Fiserv Forum,"(29.4270504, -98.43750706398404)","(43.04500955, -87.91748710581575)",1779.2917486710758
Frost Bank Center,Footprint Center,"(29.4270504, -98.43750706398404)","(33.4460392, -112.07110129629386)",1369.2380450484513
Frost Bank Center,Gainbridge Fieldhouse,"(29.4270504, -98.43750706398404)","(39.7639331, -86.15550794973416)",1604.5037513398229
Frost Bank Center,Golden 1 Center,"(29.4270504, -98.43750706398404)","(38.58014045, -121.49950076409176)",2351.0681816002543
Frost Bank Center,Kaseya Center,"(29.4270504, -98.43750706398404)","(25.781359549999998, -80.18794351626137)",1844.1686313699504
Frost Bank Center,Little Caesars Arena,"(29.4270504, -98.43750706398404)","(42.3409774, -83.05495452754165)",1989.3205580068645
Frost Bank Center,Madison Square Garden,"(29.4270504, -98.43750706398404)","(40.750512900000004, -73.99351594545152)",2545.843942475054
Frost Bank Center,Moda Center,"(29.4270504, -98.43750706398404)","(45.5315787, -122.66683365218687)",2770.909847989254
Frost Bank Center,Paycom Center,"(29.4270504, -98.43750706398404)","(35.46339605, -97.51508150130435)",674.9858611715135
Frost Bank Center,Rocket Mortgage FieldHouse,"(29.4270504, -98.43750706398404)","(41.4966862, -81.68857538921003)",2019.2784326874296
Frost Bank Center,Scotiabank Arena,"(29.4270504, -98.43750706398404)","(43.64343375, -79.37907772483726)",2313.498904993415
Frost Bank Center,Smoothie King Center,"(29.4270504, -98.43750706398404)","(29.94903925, -90.08206899587637)",810.5808319166468
Frost Bank Center,Spectrum Center,"(29.4270504, -98.43750706398404)","(35.225098, -80.83915411814897)",1774.178654030239
Frost Bank Center,State Farm Arena,"(29.4270504, -98.43750706398404)","(33.7573698, -84.39638483503104)",1414.9848903069428
Frost Bank Center,Target Center,"(29.4270504, -98.43750706398404)","(44.979512650000004, -93.27609502567992)",1784.8406276822202
Frost Bank Center,TD Garden,"(29.4270504, -98.43750706398404)","(42.3662986, -71.06216222263835)",2839.348341143355
Frost Bank Center,Toyota Center,"(29.4270504, -98.43750706398404)","(29.75074725, -95.36223151477087)",300.08055952938946
Frost Bank Center,United Center,"(29.4270504, -98.43750706398404)","(41.88068305, -87.67418510441388)",1687.8458982845955
Frost Bank Center,Wells Fargo Center (Philadelphia),"(29.4270504, -98.43750706398404)","(39.901100400000004, -75.17201654615069)",2417.918239606102
Gainbridge Fieldhouse,American Airlines Center,"(39.7639331, -86.15550794973416)","(32.7905076, -96.81027213460834)",1229.3499173946323
Gainbridge Fieldhouse,Amway Center,"(39.7639331, -86.15550794973416)","(28.53927385, -81.38400713924818)",1320.0058969426543
Gainbridge Fieldhouse,Ball Arena,"(39.7639331, -86.15550794973416)","(39.748683799999995, -105.00754401780362)",1612.558910658381
Gainbridge Fieldhouse,Barclays Center,"(39.7639331, -86.15550794973416)","(40.68251055, -73.97525186658912)",1040.8827363000669
Gainbridge Fieldhouse,Capital One Arena,"(39.7639331, -86.15550794973416)","(38.8981883, -77.0209377602636)",793.0820041185204
Gainbridge Fieldhouse,Chase Center,"(39.7639331, -86.15550794973416)","(37.767892700000004, -122.38740721330376)",3135.283693236039
Gainbridge Fieldhouse,Crypto.com Arena,"(39.7639331, -86.15550794973416)","(34.0429979, -118.2671352463293)",2914.90855359653
Gainbridge Fieldhouse,Delta Center,"(39.7639331, -86.15550794973416)","(40.76832735, -111.90105507486473)",2184.932284372741
Gainbridge Fieldhouse,FedExForum,"(39.7639331, -86.15550794973416)","(35.1382401, -90.05069457768097)",618.1922509576094
Gainbridge Fieldhouse,Fiserv Forum,"(39.7639331, -86.15550794973416)","(43.04500955, -87.91748710581575)",393.0341565052035
Gainbridge Fieldhouse,Footprint Center,"(39.7639331, -86.15550794973416)","(33.4460392, -112.07110129629386)",2412.530992807979
Gainbridge Fieldhouse,Frost Bank Center,"(39.7639331, -86.15550794973416)","(29.4270504, -98.43750706398404)",1604.5037513398229
Gainbridge Fieldhouse,Golden 1 Center,"(39.7639331, -86.15550794973416)","(38.58014045, -121.49950076409176)",3037.2412260561327
Gainbridge Fieldhouse,Kaseya Center,"(39.7639331, -86.15550794973416)","(25.781359549999998, -80.18794351626137)",1647.337249272043
Gainbridge Fieldhouse,Little Caesars Arena,"(39.7639331, -86.15550794973416)","(42.3409774, -83.05495452754165)",387.0464679661515
Gainbridge Fieldhouse,Madison Square Garden,"(39.7639331, -86.15550794973416)","(40.750512900000004, -73.99351594545152)",1039.5866911690728
Gainbridge Fieldhouse,Moda Center,"(39.7639331, -86.15550794973416)","(45.5315787, -122.66683365218687)",3034.2944241790287
Gainbridge Fieldhouse,Paycom Center,"(39.7639331, -86.15550794973416)","(35.46339605, -97.51508150130435)",1109.5914146391608
Gainbridge Fieldhouse,Rocket Mortgage FieldHouse,"(39.7639331, -86.15550794973416)","(41.4966862, -81.68857538921003)",424.00554455848487
Gainbridge Fieldhouse,Scotiabank Arena,"(39.7639331, -86.15550794973416)","(43.64343375, -79.37907772483726)",709.3776813526765
Gainbridge Fieldhouse,Smoothie King Center,"(39.7639331, -86.15550794973416)","(29.94903925, -90.08206899587637)",1146.186450413188
Gainbridge Fieldhouse,Spectrum Center,"(39.7639331, -86.15550794973416)","(35.225098, -80.83915411814897)",688.7775007633371
Gainbridge Fieldhouse,State Farm Arena,"(39.7639331, -86.15550794973416)","(33.7573698, -84.39638483503104)",684.7808013533125
Gainbridge Fieldhouse,Target Center,"(39.7639331, -86.15550794973416)","(44.979512650000004, -93.27609502567992)",823.7687736661712
Gainbridge Fieldhouse,TD Garden,"(39.7639331, -86.15550794973416)","(42.3662986, -71.06216222263835)",1299.2352768265382
Gainbridge Fieldhouse,Toyota Center,"(39.7639331, -86.15550794973416)","(29.75074725, -95.36223151477087)",1392.683544306018
Gainbridge Fieldhouse,United Center,"(39.7639331, -86.15550794973416)","(41.88068305, -87.67418510441388)",267.7004141351562
Gainbridge Fieldhouse,Wells Fargo Center (Philadelphia),"(39.7639331, -86.15550794973416)","(39.901100400000004, -75.17201654615069)",939.741014364107
Golden 1 Center,American Airlines Center,"(38.58014045, -121.49950076409176)","(32.7905076, -96.81027213460834)",2317.308593216121
Golden 1 Center,Amway Center,"(38.58014045, -121.49950076409176)","(28.53927385, -81.38400713924818)",3854.218598051807
Golden 1 Center,Ball Arena,"(38.58014045, -121.49950076409176)","(39.748683799999995, -105.00754401780362)",1429.181208898961
Golden 1 Center,Barclays Center,"(38.58014045, -121.49950076409176)","(40.68251055, -73.97525186658912)",4036.651308820711
Golden 1 Center,Capital One Arena,"(38.58014045, -121.49950076409176)","(38.8981883, -77.0209377602636)",3827.9290020511594
Golden 1 Center,Chase Center,"(38.58014045, -121.49950076409176)","(37.767892700000004, -122.38740721330376)",119.08641700453106
Golden 1 Center,Crypto.com Arena,"(38.58014045, -121.49950076409176)","(34.0429979, -118.2671352463293)",581.0520761972368
Golden 1 Center,Delta Center,"(38.58014045, -121.49950076409176)","(40.76832735, -111.90105507486473)",858.0947098623587
Golden 1 Center,FedExForum,"(38.58014045, -121.49950076409176)","(35.1382401, -90.05069457768097)",2816.444684710041
Golden 1 Center,Fiserv Forum,"(38.58014045, -121.49950076409176)","(43.04500955, -87.91748710581575)",2856.794786140083
Golden 1 Center,Footprint Center,"(38.58014045, -121.49950076409176)","(33.4460392, -112.07110129629386)",1022.3237686427254
Golden 1 Center,Frost Bank Center,"(38.58014045, -121.49950076409176)","(29.4270504, -98.43750706398404)",2351.0681816002543
Golden 1 Center,Gainbridge Fieldhouse,"(38.58014045, -121.49950076409176)","(39.7639331, -86.15550794973416)",3037.2412260561327
Golden 1 Center,Kaseya Center,"(38.58014045, -121.49950076409176)","(25.781359549999998, -80.18794351626137)",4106.188640283842
Golden 1 Center,Little Caesars Arena,"(38.58014045, -121.49950076409176)","(42.3409774, -83.05495452754165)",3259.36821139238
Golden 1 Center,Madison Square Garden,"(38.58014045, -121.49950076409176)","(40.750512900000004, -73.99351594545152)",4033.503203335117
Golden 1 Center,Moda Center,"(38.58014045, -121.49950076409176)","(45.5315787, -122.66683365218687)",778.12517753537
Golden 1 Center,Paycom Center,"(38.58014045, -121.49950076409176)","(35.46339605, -97.51508150130435)",2155.7891116178903
Golden 1 Center,Rocket Mortgage FieldHouse,"(38.58014045, -121.49950076409176)","(41.4966862, -81.68857538921003)",3383.051021919596
Golden 1 Center,Scotiabank Arena,"(38.58014045, -121.49950076409176)","(43.64343375, -79.37907772483726)",3543.470398556715
Golden 1 Center,Smoothie King Center,"(38.58014045, -121.49950076409176)","(29.94903925, -90.08206899587637)",3030.3547748045266
Golden 1 Center,Spectrum Center,"(38.58014045, -121.49950076409176)","(35.225098, -80.83915411814897)",3613.4180404901317
Golden 1 Center,State Farm Arena,"(38.58014045, -121.49950076409176)","(33.7573698, -84.39638483503104)",3357.690595881046
Golden 1 Center,Target Center,"(38.58014045, -121.49950076409176)","(44.979512650000004, -93.27609502567992)",2437.476704464677
Golden 1 Center,TD Garden,"(38.58014045, -121.49950076409176)","(42.3662986, -71.06216222263835)",4234.9332379712505
Golden 1 Center,Toyota Center,"(38.58014045, -121.49950076409176)","(29.75074725, -95.36223151477087)",2589.916446151418
Golden 1 Center,United Center,"(38.58014045, -121.49950076409176)","(41.88068305, -87.67418510441388)",2883.1010324508875
Golden 1 Center,Wells Fargo Center (Philadelphia),"(38.58014045, -121.49950076409176)","(39.901100400000004, -75.17201654615069)",3956.793693978571
Kaseya Center,American Airlines Center,"(25.781359549999998, -80.18794351626137)","(32.7905076, -96.81027213460834)",1789.3173442525838
Kaseya Center,Amway Center,"(25.781359549999998, -80.18794351626137)","(28.53927385, -81.38400713924818)",327.7742041859006
Kaseya Center,Ball Arena,"(25.781359549999998, -80.18794351626137)","(39.748683799999995, -105.00754401780362)",2778.913564188437
Kaseya Center,Barclays Center,"(25.781359549999998, -80.18794351626137)","(40.68251055, -73.97525186658912)",1749.9462693047865
Kaseya Center,Capital One Arena,"(25.781359549999998, -80.18794351626137)","(38.8981883, -77.0209377602636)",1484.5402133835055
Kaseya Center,Chase Center,"(25.781359549999998, -80.18794351626137)","(37.767892700000004, -122.38740721330376)",4172.6280563006085
Kaseya Center,Crypto.com Arena,"(25.781359549999998, -80.18794351626137)","(34.0429979, -118.2671352463293)",3766.562912769926
Kaseya Center,Delta Center,"(25.781359549999998, -80.18794351626137)","(40.76832735, -111.90105507486473)",3362.8225686028522
Kaseya Center,FedExForum,"(25.781359549999998, -80.18794351626137)","(35.1382401, -90.05069457768097)",1403.0605672915606
Kaseya Center,Fiserv Forum,"(25.781359549999998, -80.18794351626137)","(43.04500955, -87.91748710581575)",2040.3710894232238
Kaseya Center,Footprint Center,"(25.781359549999998, -80.18794351626137)","(33.4460392, -112.07110129629386)",3188.861415442209
Kaseya Center,Frost Bank Center,"(25.781359549999998, -80.18794351626137)","(29.4270504, -98.43750706398404)",1844.1686313699504
Kaseya Center,Gainbridge Fieldhouse,"(25.781359549999998, -80.18794351626137)","(39.7639331, -86.15550794973416)",1647.337249272043
Kaseya Center,Golden 1 Center,"(25.781359549999998, -80.18794351626137)","(38.58014045, -121.49950076409176)",4106.188640283842
Kaseya Center,Little Caesars Arena,"(25.781359549999998, -80.18794351626137)","(42.3409774, -83.05495452754165)",1855.555555208419
Kaseya Center,Madison Square Garden,"(25.781359549999998, -80.18794351626137)","(40.750512900000004, -73.99351594545152)",1756.441597552193
Kaseya Center,Moda Center,"(25.781359549999998, -80.18794351626137)","(45.5315787, -122.66683365218687)",4357.047731920538
Kaseya Center,Paycom Center,"(25.781359549999998, -80.18794351626137)","(35.46339605, -97.51508150130435)",1973.090892865891
Kaseya Center,Rocket Mortgage FieldHouse,"(25.781359549999998, -80.18794351626137)","(41.4966862, -81.68857538921003)",1748.5917654533553
Kaseya Center,Scotiabank Arena,"(25.781359549999998, -80.18794351626137)","(43.64343375, -79.37907772483726)",1982.949868312895
Kaseya Center,Smoothie King Center,"(25.781359549999998, -80.18794351626137)","(29.94903925, -90.08206899587637)",1077.7298603971167
Kaseya Center,Spectrum Center,"(25.781359549999998, -80.18794351626137)","(35.225098, -80.83915411814897)",1048.8097131933791
Kaseya Center,State Farm Arena,"(25.781359549999998, -80.18794351626137)","(33.7573698, -84.39638483503104)",973.0321523711314
Kaseya Center,Target Center,"(25.781359549999998, -80.18794351626137)","(44.979512650000004, -93.27609502567992)",2432.2503236517286
Kaseya Center,TD Garden,"(25.781359549999998, -80.18794351626137)","(42.3662986, -71.06216222263835)",2020.3482009642794
Kaseya Center,Toyota Center,"(25.781359549999998, -80.18794351626137)","(29.75074725, -95.36223151477087)",1557.6773113672195
Kaseya Center,United Center,"(25.781359549999998, -80.18794351626137)","(41.88068305, -87.67418510441388)",1913.5140372361932
Kaseya Center,Wells Fargo Center (Philadelphia),"(25.781359549999998, -80.18794351626137)","(39.901100400000004, -75.17201654615069)",1634.0468749835693
Little Caesars Arena,American Airlines Center,"(42.3409774, -83.05495452754165)","(32.7905076, -96.81027213460834)",1608.810137719928
Little Caesars Arena,Amway Center,"(42.3409774, -83.05495452754165)","(28.53927385, -81.38400713924818)",1538.711083957736
Little Caesars Arena,Ball Arena,"(42.3409774, -83.05495452754165)","(39.748683799999995, -105.00754401780362)",1862.6918361205828
Little Caesars Arena,Barclays Center,"(42.3409774, -83.05495452754165)","(40.68251055, -73.97525186658912)",779.6175848949208
Little Caesars Arena,Capital One Arena,"(42.3409774, -83.05495452754165)","(38.8981883, -77.0209377602636)",637.57319370679
Little Caesars Arena,Chase Center,"(42.3409774, -83.05495452754165)","(37.767892700000004, -122.38740721330376)",3363.8256480409505
Little Caesars Arena,Crypto.com Arena,"(42.3409774, -83.05495452754165)","(34.0429979, -118.2671352463293)",3193.643267857958
Little Caesars Arena,Delta Center,"(42.3409774, -83.05495452754165)","(40.76832735, -111.90105507486473)",2401.2904082847035
Little Caesars Arena,FedExForum,"(42.3409774, -83.05495452754165)","(35.1382401, -90.05069457768097)",1003.8249892836809
Little Caesars Arena,Fiserv Forum,"(42.3409774, -83.05495452754165)","(43.04500955, -87.91748710581575)",406.00388177867535
Little Caesars Arena,Footprint Center,"(42.3409774, -83.05495452754165)","(33.4460392, -112.07110129629386)",2720.0148596934055
Little Caesars Arena,Frost Bank Center,"(42.3409774, -83.05495452754165)","(29.4270504, -98.43750706398404)",1989.3205580068645
Little Caesars Arena,Gainbridge Fieldhouse,"(42.3409774, -83.05495452754165)","(39.7639331, -86.15550794973416)",387.0464679661515
Little Caesars Arena,Golden 1 Center,"(42.3409774, -83.05495452754165)","(38.58014045, -121.49950076409176)",3259.36821139238
Little Caesars Arena,Kaseya Center,"(42.3409774, -83.05495452754165)","(25.781359549999998, -80.18794351626137)",1855.555555208419
Little Caesars Arena,Madison Square Garden,"(42.3409774, -83.05495452754165)","(40.750512900000004, -73.99351594545152)",776.0064574219869
Little Caesars Arena,Moda Center,"(42.3409774, -83.05495452754165)","(45.5315787, -122.66683365218687)",3167.674106008487
Little Caesars Arena,Paycom Center,"(42.3409774, -83.05495452754165)","(35.46339605, -97.51508150130435)",1465.4160735377388
Little Caesars Arena,Rocket Mortgage FieldHouse,"(42.3409774, -83.05495452754165)","(41.4966862, -81.68857538921003)",147.10913503298664
Little Caesars Arena,Scotiabank Arena,"(42.3409774, -83.05495452754165)","(43.64343375, -79.37907772483726)",332.8232754979422
Little Caesars Arena,Smoothie King Center,"(42.3409774, -83.05495452754165)","(29.94903925, -90.08206899587637)",1512.1098360280484
Little Caesars Arena,Spectrum Center,"(42.3409774, -83.05495452754165)","(35.225098, -80.83915411814897)",812.9824440589839
Little Caesars Arena,State Farm Arena,"(42.3409774, -83.05495452754165)","(33.7573698, -84.39638483503104)",959.971827024354
Little Caesars Arena,Target Center,"(42.3409774, -83.05495452754165)","(44.979512650000004, -93.27609502567992)",874.2822977186213
Little Caesars Arena,TD Garden,"(42.3409774, -83.05495452754165)","(42.3662986, -71.06216222263835)",987.2750569477116
Little Caesars Arena,Toyota Center,"(42.3409774, -83.05495452754165)","(29.75074725, -95.36223151477087)",1779.6401516577544
Little Caesars Arena,United Center,"(42.3409774, -83.05495452754165)","(41.88068305, -87.67418510441388)",385.39823787587596
Little Caesars Arena,Wells Fargo Center (Philadelphia),"(42.3409774, -83.05495452754165)","(39.901100400000004, -75.17201654615069)",714.9625415959118
Madison Square Garden,American Airlines Center,"(40.750512900000004, -73.99351594545152)","(32.7905076, -96.81027213460834)",2211.81668240852
Madison Square Garden,Amway Center,"(40.750512900000004, -73.99351594545152)","(28.53927385, -81.38400713924818)",1513.1936319099116
Madison Square Garden,Ball Arena,"(40.750512900000004, -73.99351594545152)","(39.748683799999995, -105.00754401780362)",2627.328192036762
Madison Square Garden,Barclays Center,"(40.750512900000004, -73.99351594545152)","(40.68251055, -73.97525186658912)",7.707625454399785
Madison Square Garden,Capital One Arena,"(40.750512900000004, -73.99351594545152)","(38.8981883, -77.0209377602636)",330.8331198689988
Madison Square Garden,Chase Center,"(40.750512900000004, -73.99351594545152)","(37.767892700000004, -122.38740721330376)",4136.95277154461
Madison Square Garden,Crypto.com Arena,"(40.750512900000004, -73.99351594545152)","(34.0429979, -118.2671352463293)",3947.5956890484194
Madison Square Garden,Delta Center,"(40.750512900000004, -73.99351594545152)","(40.76832735, -111.90105507486473)",3175.463974079828
Madison Square Garden,FedExForum,"(40.750512900000004, -73.99351594545152)","(35.1382401, -90.05069457768097)",1539.69541905094
